"filename", "language", "TypeScript", "XML", "vue", "CSS", "Less", "JavaScript", "JSON with Comments", "JSON", "Properties", "Markdown", "Ignore", "HTML", "YAML", "comment", "blank", "total"
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/components/Table/src/types/tableAction.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 28
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/components/Upload/index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/components/Upload/src/BasicUpload.vue", "vue", 0, 0, 270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37, 311
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/components/Upload/src/props.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 35
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/components/Upload/src/type/index.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/config/website.config.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/directives/clickOutside.ts", "TypeScript", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 87
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/directives/copy.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 35
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/directives/debounce.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 32
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/directives/draggable.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 2, 50
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/directives/longpress.ts", "TypeScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 3, 50
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/directives/permission.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/directives/throttle.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 2, 42
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/enums/breakpointEnum.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/enums/cacheEnum.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 21
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/enums/httpEnum.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 3, 35
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/enums/pageEnum.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 15
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/enums/permissionsEnum.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/enums/roleEnum.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 8
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/hooks/core/useTimeout.ts", "TypeScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 48
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/hooks/event/useBreakpoint.ts", "TypeScript", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 90
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/hooks/event/useEventListener.ts", "TypeScript", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 63
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/hooks/event/useWindowSizeFn.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 37
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/hooks/index.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/hooks/setting/index.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 35
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/hooks/setting/useDesignSetting.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/hooks/setting/useProjectSetting.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 43
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/hooks/use-async.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/hooks/useBattery.ts", "TypeScript", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 11, 94
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/hooks/useDomWidth.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 24
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/hooks/useOnline.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 31
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/hooks/useTime.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 8, 56
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/hooks/web/useECharts.ts", "TypeScript", 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 124
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/hooks/web/usePage.ts", "TypeScript", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 63
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/hooks/web/usePermission.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 7, 53
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/layout/components/Footer/index.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/layout/components/Footer/index.vue", "vue", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 57
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/layout/components/Header/ProjectSetting.vue", "vue", 0, 0, 324, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 46, 385
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/layout/components/Header/components.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 32
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/layout/components/Header/index.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/layout/components/Header/index.vue", "vue", 0, 0, 415, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 45, 469
"/Users/xing/Documents/projects/monitor/monitorAdmin/src/layout/components/Logo/index.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
